Nama_Obat;HPP;Stock
PROMAG TAB 144;775,85;0,00
PARAMEX TAB@200;588,00;32,00
INSTO ED 15ML;21.030,06;5,00
INSTO COOL 7.5ML;15.718,71;3,00
KOMIX ALL VARIANT @30;1.453,00;0,00
EAGLE DISINFECTANT SPRAY @280ML;55.659,29;1,00
BECOM C KPL@100;1.887,00;20,00
TEMPRA SYR  60ML;42.846,00;0,00
PURE BABY CLEANSING ALOE VERA WIPES;8.560,20;-2,00
HOT IN CREAM AROMATERPI BTOL  120ML;29.859,00;0,00
COOLING 5 CHERY;35.520,00;3,00
VOLTAREN EMULGEL 20GR;96.792,00;4,00
RENU FRESH 60 ML;32.190,00;0,00
ONEMED ALKOHOL 70% 300ML;12.399,81;4,00
ACTIFED SYR  60ML (KUNING);58.164,00;2,00
N.HEALTH COLLAGEN COMPLEX@60;450.000,00;0,00
SUTRA KONDOM@24;38.872,00;0,00
ANTIS JERUK NIPIS HIJAU  60ML;11.661,00;0,00
BIOLYSIN TAB@100;510,60;0,00
APIALYS DROP 10ML;49.950,00;0,00
SELSUN YELLOW 100 ML;43.956,00;2,00
DODO COTTON BUDS 132;5.533,40;0,00
BODREX 500MG TAB BX/240;415,03;120,00
CAP LANG GPU LINIMENT 100 ML;21.552,00;0,00
FREZZA MEDICATED MOUTH ULCER SPRAY;21.312,00;0,00
BYE BYE FEVER FOR CHILD@10;9.629,03;2,00
CAP LANG MKP  30ML@24;11.500,04;6,00
ONEMED NO PAIN SPRAY;129.999,87;0,00
INZA TAB@100;628,00;60,00
MIXAGRIP KPL@100;750,00;48,00
BECOM-ZET KPL@100;2.608,50;110,00
THROMBOPHOB OINT 15GR;49.950,00;1,00
VOLTAREN EMULGEL 10GR;56.388,00;5,00
DULCOLAX 10MG (DWS)SUPP ADULT@ 5;29.476,49;0,00
NEO RHEUMACYL NEURO TAB@120;975,00;40,00
ALCO ORAL DROP 15ML;101.010,00;0,00
ALOCLAIR PLUS MOUTHWASH;103.230,00;4,00
PROMEDEX SYR 60ML;45.621,00;10,00
MAGALAT SUSP 200ML;28.820,00;0,00
THROMBOPHOB GEL 20GR;66.600,00;2,00
OCTEDINE SPRAY 50 ML;46.620,00;4,00
IALUSET PLUS CR 100 GR;199.800,00;1,00
LANOS DROP;49.950,00;0,00
MIXAGRIP FLU&BATUK TAB@100;775,00;40,00
ASTHIN FORCE 6 MG @20;10.100,00;20,00
OCTEDINE GEL 10 GR;34.299,00;0,00
DECOLGEN TAB@100;543,00;60,00
STOP COLD DRAGE@60;721,02;508,00
ASTHIN FORCE 4 MG CAP@20;8.691,00;0,00
DIAPET NR@4;818,00;48,00
ILIADIN 0.05% NASAL SPRAY 10ML;88.551,36;5,00
ANTIMO 50MG TAB@10;491,00;300,00
HOT IN STRONG BOTOL 120 ML;29.859,00;0,00
HOT IN DCL 120G;37.296,00;2,00
COMBANTRIN TAB 250MG@50;19.013,00;13,00
SANADRYL EXP SYR 120ML;21.494,00;2,00
NEOZEP FORTE TAB@100;685,00;36,00
SANADRYL EXP SYR  60ML;14.485,50;1,00
SYSTANE ULTRA MD 5 ML;73.126,80;5,00
CANESTEN CR  5GR;26.418,00;1,00
CENDO LYTEERS MD ED;21.367,50;0,00
SANADRYL DMP SYR 120ML;27.324,00;0,00
DECOLGEN FX TAB@100;1.123,00;30,00
DECOLSIN CAP@100;688,20;64,00
SILEX SYR 100ML;82.140,00;3,00
SANADRYL DMP SYR  60ML;17.593,50;2,00
GRATHEOS 50MG TAB@100;347,00;0,00
ALLERIN EXP SYR 120ML;20.833,00;0,00
ALOCLAIR PLUS SPRAY 15ML;108.780,00;4,00
TRANSPULMIN KELUARGA 20 GR;52.222,50;0,00
CANESTEN PRO CR 15 GR;87.889,80;2,00
ALAXAN FR TABLET;596,00;0,00
DULCOLAX  5MG ISI 4 TAB@ 80;2.501,00;96,00
TOTALCARE NASAL SPRAY+ ANT 20 ML;23.000,00;0,00
LACTACYD ALL DAY CARE;26.694,39;0,00
NIZORAL 2% CR  5GR;45.353,00;0,00
PANADOL COLD & FLU TAB PERKUSOR;1.636,81;680,00
CANESTEN PRO CR 5 GR;34.525,44;1,00
BNS BREATHY NASAL SPRAY;97.680,00;3,00
TRIFED TAB@50;3.790,65;20,00
TEMPRA FORTE GRAPE SYR 60ML;47.286,00;1,00
TEMPRA FORTE ORANGE SYR 60 ML;48.231,72;2,00
HOT IN STRONG TUBE 60 GR;19.980,00;0,00
NOROID SOOTHING CREAM;175.000,00;0,00
TRIAMINIC EKPECTORAN & PILEK;75.457,00;1,00
CANESTEN CR 10GR;46.287,00;2,00
MAGALAT SUSP 100ML;34.299,00;3,00
ASCARDIA  80MG TAB@100;1.117,00;0,00
NOROID DERMA RASH CREAM;167.074,00;0,00
TRIAMINIC PILEK SYR 60ML;75.457,00;0,00
BISOLVON 8MG TAB@100;2.655,00;60,00
BETADINE VD + ALAT 100ML;114.607,00;0,00
TANTUM LOZ@12 MINT;36.630,00;2,00
TROLIT SACHET@6;102.675,00;5,00
TREMENZA SYR 60ML;23.920,00;0,00
DULCOLAX  5MG TAB ISI 10;18.472,62;9,00
ALCO PLUS DMP SYR 100ML ANGGUR;63.738,00;0,00
DECOLGEN PE @100;543,00;52,00
COMBANTRIN SYR JERUK;18.437,00;0,00
ILIADIN 0.025% NASAL DROP 10ML;78.517,00;0,00
DAKTARIN CR   5GR;27.139,50;0,00
TANTUM VERDE ORAL RINSE  60ML;24.420,00;0,00
FOLAMIL GENIO SOFTCAP@30;133.200,00;0,00
SEDARES 25 MG @20 TAB;1.665,00;30,00
CARMED CR 20% 40GR;45.715,35;2,00
DAKTARIN CR 10GR;44.943,90;0,00
ALBOTHYL SOL CONC  10ML;42.735,00;0,00
CENDO EYE FRESH MD EYE DROP;26.951,91;3,00
BISOLVON ELIX KID STRW 60ML;47.137,26;0,00
PROMEDEX TAB@100;2.641,80;110,00
PANTOZOL 40MG TAB@7;21.978,00;14,00
FUSYCOM CR 5GR;53.724,00;3,00
BUSCOPAN 10MG TAB@100;4.074,67;80,00
LYRICA  50MG CAP@14;10.469,35;0,00
ERICFIL TAB 100 MG @4;72.150,00;20,00
ESPERSON 0.25% CR 15GR;193.762,71;3,00
ETORICOXIB 60MG @30;3.885,00;30,00
PROFERTIL 50MG TAB@10;20.979,00;0,00
EPISAN 100 ML;59.884,50;0,00
PONSTELAX 500MG KPL@100;832,50;0,00
CELEBREX 200MG CAP@30;16.892,68;0,00
FUSON CR 5GR;66.600,00;4,00
CENDO FENICOL 0.5% ED 5ML;33.993,75;0,00
KALMOXILLIN 500MG KPL@100;2.886,00;0,00
VITACID 0.1% GEL 20GR;83.250,00;0,00
INMATROL EYE DROP 5ML;56.643,00;0,00
VESTEIN 175MG/5ML SYR 60ML;71.595,00;0,00
PREGABALIN 150 MG KAPS @30 OGB;8.547,00;30,00
LANDO 300MG CAP@50;10.467,30;10,00
TENACE 10MG TAB@60;5.393,49;0,00
KEPPRA 500MG TAB@20;19.872,00;0,00
TILIDON 10MG TAB@30;6.831,00;0,00
SPEDIFEN 400MG TAB@30;8.325,00;246,00
DOMPERIDONE 10MG TAB@50 GNOV;407,29;140,00
INPEPSA SUSP 200ML;133.200,00;0,00
CYGEST PESSARY 400MG SUPP@15;32.560,00;15,00
KETOMED 2% SCALP LOT 60ML;52.059,00;5,00
ESPERSON 0.25% CR  5GR;78.302,73;2,00
ETORICOXIB 90MG @30;5.550,00;60,00
NOVAMOX 500 MG (AMOXYCILLIN);1.000,00;1.200,00
LODIA 2MG TAB@60;1.276,50;70,00
PRORIS(FCT) TRIPLE ACTION @100;888,89;250,00
INTERNOLOL  50MG TAB@30;4.895,10;0,00
CEFIXIME 100MG NOVELL @50;1.110,00;0,00
TELFAST HD 180MG TAB@10;13.028,18;0,00
CELEBREX 100MG CAP@30;12.011,75;20,00
AMOXSAN 500MG CAP@100;3.772,00;0,00
CENDO FENICOL 0.25% ED 5ML;24.281,25;0,00
CEFIXIME 200 MG NOVELL @ 50;3.996,00;80,00
LANSOPRAZOLE 30MG CAP@20 GNOV;2.109,00;0,00
CYCLO PROGYNOVA TAB@21;190.155,00;0,00
ESOMEPRAZOLE 20MG;8.880,00;20,00
BEROTEC 100MCG MDI;274.400,00;0,00
VITACID 0.1% CR 20GR;56.277,00;36,00
ELOCON LOT 30ML;290.209,50;0,00
PROMEL 20MG TAB @4;65.212,50;24,00
CARDIO ASPIRIN 100MG TAB@30;2.308,54;0,00
SPEDIFEN 600MG SACH@20;6.993,00;0,00
ZISTIC 500MG KPL@10;37.157,00;0,00
BENZOLAC-CL GEL 10GR;35.520,00;0,00
IMODIUM 2 MG TAB @50;8.849,00;0,00
INVOMIT 8MG TAB@18;35.825,25;18,00
NASONEX NASAL SPRAY 140MD;348.484,00;0,00
CLOPIDOGREL 75MG TAB@30;2.035,00;30,00
TELFAST BD 60MG CAP@100;6.053,39;0,00
CLARITIN 10MG TAB@ 30;9.139,00;0,00
PIROTOP CREAM 10 GR;72.880,38;0,00
ETORICOXIB 120MG @30;7.215,00;180,00
MYONAL 50MG TAB@100;8.482,98;0,00
INCIDAL OD 10MG CAP@32;4.228,00;0,00
LASIX 40MG TAB@100;7.702,80;70,00
MEDISIO CONCENTRATE 5ML;15.540,00;1,00
MYORES 2MG TAB@100;4.995,00;0,00
ZITHROMAX 500MG CAP@3;94.684,85;0,00
BORRAGINOL S SUPP@10;16.428,00;0,00
LYRICA  75MG CAP@14;15.118,83;28,00
DIFLAM 50MG TAB@50;5.244,00;0,00
VOLTAREN SR 75MG TAB@50;11.003,59;70,00
SCABIMITE 5% CR 10GR;53.679,60;1,00
NARFOZ SYR 60 ML;99.900,00;0,00
BENOSON G CR 10GR;85.470,00;1,00
PULMICORT RESP 0.25MG/ML@20;22.117,00;0,00
KETESSE 25MG TAB@50;10.575,00;0,00
OZEMPIC 1 MG INJ;2.550.000,00;4,00
INVOMIT 4MG TAB@18;23.710,83;18,00
NIFUDIAR SUSP;41.070,00;0,00
NASONEX NASAL SPRAY  60MD;238.927,00;0,00
CLARITIN OTC @10TAB;9.423,90;0,00
BISOPROLOL 2,5MG 100 TAB GNOV ASK;583,33;0,00
RECOLFAR 0.5MG TAB@30;7.215,00;0,00
PIROTOP OINT 10 GR;72.816,00;0,00
DRAMAMINE 50MG TAB@100;2.035,00;0,00
MYCO-Z OINT 10GR;96.015,00;2,00
CLANEKSI 500MG KPL@30;15.595,50;0,00
CANDESARTAN TAB 16 MG @30;2.035,00;0,00
MEDISIO CONCENTRATE 10 ML;25.530,00;2,00
MERISLON 6 MG TAB@100;5.901,79;90,00
ZYLORIC 300MG TAB@100;8.756,24;20,00
SYNBIO CAP@30;5.827,50;0,00
LYRICA 150MG CAP@14;24.945,43;0,00
FORMYCO 200MG TAB@50;5.994,00;0,00
MUCOS 30MG TAB@100;888,00;0,00
CEFSPAN SYR 30ML;154.290,00;0,00
GABAPENTIN300MG@ 100;4.895,10;30,00
NARFOZ 4MG TAB@12;16.788,75;18,00
TARIVID OPTH SOLUTON 5ML;68.820,00;0,00
ZENRIZ 10MG TAB@30;6.327,00;0,00
SIMVASTATIN 20MG TAB@50 GDX;832,50;0,00
ANDALAN POSTPIL;23.643,00;5,00
PREDNICORT 4MG TAB@50;4.344,00;0,00
CIPRALEX 10MG TAB@28;22.794,64;56,00
COLCHICINE 0,5 MG @50;2.775,00;100,00
FAMETSON 4 MG TAB @100;2.830,50;100,00
PRIMOLUT N 5MG TAB@30;6.651,00;0,00
BETADINE VAG DOUCHE 100ML;119.191,80;1,00
NEBACETIN PWD 5GR;27.195,00;5,00
DIGENTA CR 10GR;118.770,00;5,00
MYCORAL 200MG TAB@50;4.995,00;10,00
ACYCLOVIR 5% CR 5GR GKF ASK;5.106,00;0,00
ABDIFLAM 50MG TAB@50;4.995,00;0,00
ZYLORIC 100MG TAB@200;3.651,68;60,00
NEURALGIN RX KPL@100;1.143,00;0,00
CENDO CENFRESH EYE DROP 5ML;38.711,25;0,00
BACTODERM 2% OINT 10GR;62.937,00;0,00
CLINOVIR 400MG TAB@30;9.157,50;60,00
BUSCOPAN PLUS TAB@100;5.533,45;40,00
NEBACETIN OINT 5GR;25.530,00;5,00
TRIPTAGIC 100MG TAB@2;49.800,00;0,00
MUCERA 30MG TAB@100;1.665,00;0,00
PREDNOX  4MG KPL@100;4.440,00;240,00
MEDIXON 16MG TAB@30;8.288,00;24,00
PREDNICORT 8MG TAB@50;6.288,00;0,00
ZOVIRAX 200MG TAB@25;14.835,55;25,00
DIPROGENTA CR  5GR;76.107,15;4,00
DOHIXAT 100MG TAB@100 ASK;704,85;230,00
DIPROSONE OV CR  5GR;62.596,23;0,00
DEFLAMAT CR 100MG CAP@20;9.768,00;20,00
DULCOLACTOL 3.35G/5ML SYR 60M;75.561,03;0,00
PRAXION FORTE SYR 60ML JERUK;30.869,10;1,00
VITAQUIN 2% CR 15 GR;33.300,00;0,00
KENALOG IN ORABASE 5GR;72.150,00;1,00
ATORVASTATIN 20 MG @100 DIPA PHARMA;2.220,00;0,00
OTOPAIN EAR DROP 8ML;104.118,00;9,00
CATAFLAM 50MG TAB@50;6.993,00;0,00
INTRIZIN SYR 60ML;90.576,00;1,00
VENOSMIL GEL 60GR;221.445,00;1,00
VOLTAREN 50MG TAB@50;8.033,47;80,00
AMLODIPIN 10MG TAB@100 TRIFA;191,73;0,00
PONSTAN 500MG KPL@100;3.074,00;0,00
ECOROXIB 60 MG @30;7.770,00;0,00
SERETIDE DISKUS 500MCG;344.211,00;0,00
ESTESIA CR  5GR;55.500,00;0,00
ZOVIRAX CR 5GR;235.164,60;5,00
BURNAZIN PLUS CR 25GR;128.205,00;0,00
SODIUM CHLORIDE 0.9% 500ML GSB;7.673,00;0,00
CENDO HYALUB MD EYE DROP;63.270,00;1,00
PREDNOX 16MG KPL@50;10.189,80;120,00
DIPROGENTA OINT  5GR;74.657,00;0,00
MONURIL GRANUL 3GR SACH;249.750,00;1,00
CENDO GENTAMYCIN 0.3% SLP MATA;40.376,25;3,00
GLUCOPHAGE  500MG TAB@100;2.142,00;0,00
TREMENZA TAB@100;1.942,50;70,00
ZENTRA TAB;1.609,50;240,00
DERMOVATE CR  5GR;89.992,14;0,00
KALXETIN 20MG CAP@30;10.656,00;0,00
ATORVASTATIN 10 MG @100 DIPA PHARMA;1.110,00;80,00
CENDO VITROLENTA ED;36.352,50;1,00
ATORVASTATIN 20 MG @30;3.885,00;60,00
VIAGRA 100MG TAB@4;172.047,78;8,00
AMLODIPIN  5MG TAB@100 GHX;108,00;70,00
CENDO XITROL MD EYE DROP;29.859,00;3,00
LASGAN 30MG CAP@20;20.007,00;10,00
SERETIDE 125MCG INH;177.692,00;0,00
DIPROGENTA OINT 10GR;111.421,80;0,00
PROVERA  10MG TAB@30;12.200,00;30,00
CLARITIN 10MG TAB@100;9.140,85;290,00
ONDANSETRON 8MG TAB@12 GNV;2.553,00;84,00
VOMETA FLASH TAB@50;5.550,00;0,00
NEXIUM 20MG TAB@28;24.148,00;0,00
CERINI SYR;50.190,00;0,00
AERIUS SYR 60ML;109.242,00;0,00
PRO 10 MG;25.000,00;240,00
PREGABALIN 75 MG CAPS @30 OGB;5.550,00;60,00
CENDO GENTAMYCIN 0.3% ED 5ML;31.496,25;4,00
EUTHYROX 100MCG TAB@100;3.572,42;0,00
SANPRIMA FORTE KPL@100;2.442,00;20,00
BEREA TAB @ 100;1.371,00;0,00
ZELFACE 20% CR 10GR;51.060,00;2,00
PRORIS SYR 60ML;25.530,00;1,00
TELFAST OD 120MG TAB@100;12.123,00;0,00
MEDIXON  8MG TAB@100;5.533,00;0,00
REFAQUIN CR 15GR;80.253,00;3,00
KALNEX 500MG TAB@100;4.462,00;0,00
SUCRALFATE 100 ML;18.315,00;3,00
PROMEL 10 MG TAB @8;41.625,00;8,00
XENICAL 120MG CAP@21;14.066,40;21,00
VIAGRA  50MG TAB@4;132.578,40;8,00
CENDO XITROL EO 3.5GR;39.821,25;2,00
CENDO LYTEERS ED 15ML;24.975,00;0,00
CEFAT 500MG CAP@100;12.461,00;40,00
VISTAT 120 MG CAPS @30;9.435,00;0,00
DIPROSONE OV CR 10GR;105.716,40;0,00
AMLODIPIN  5MG TAB@30 NOVEL;370,00;0,00
ESOMEPRAZOLE 40 MG TAB @30;5.328,00;10,00
VITACID 0.05% CR 20GR;44.622,00;45,00
LERZIN TABLET;443,00;0,00
ERIMAXX TAB 20 MG @2;88.800,00;8,00
OLMETEC 20MG TAB@30;18.600,00;0,00
TRADOSIK KAPS;10.000,00;0,00
KANDISTATIN SUSP 12ML;53.113,50;0,00
ZENTAMIN TAB @100;1.733,00;20,00
BUSCOPAN PLUS SUPP@6;1.653,30;0,00
CLINOVIR 200MG TAB@30;5.254,00;0,00
INTERPEC 30MG/5ML SYR 60ML;68.186,00;0,00
KALMICETINE 2% OINT 15GR;16.650,00;3,00
CELECOXIB 100 MG CAPS @30;3.700,00;50,00
DOL 50 MG;10.000,00;0,00
NIFURAL SYR 60ML;66.933,00;0,00
BETAHISTINE 24 MG;4.995,00;20,00
RHINOS SR CAP@50;7.548,00;640,00
DIANE 35 TAB@21;168.560,00;0,00
CENDO FENICOL EO 3.5GR;24.281,25;0,00
ZITROLIN 500 MG @6;44.400,00;0,00
DIPROSONE OV OINT 10GR;91.530,60;0,00
GRAMAX 100MG TAB @4;63.797,25;0,00
PRIMPERAN 10MG TAB@100;1.443,00;20,00
EUTHYROX  50MCG TAB@100;2.010,74;300,00
AMLODIPIN  10MG TAB@30 NOVEL;814,00;10,00
VITACID 0.025% CR 15GR;30.858,00;55,00
YUSIMOX FORTE SYRUP;8.872,00;1,00
KEPPRA 500 MG;133.200,00;0,00
ONDANSETRON 8 MG TAB @50 (OGB) NULAB;1.110,00;10,00
BENOSON N CR 15GR;37.740,00;0,00
VOLTAREN RETARD 100MG TAB@50;14.261,88;0,00
AERIUS 5MG TAB@30;10.268,06;0,00
OMEPRAZOLE 20MG CAP@30 GNOV;666,00;0,00
REFAQUIN 10 GR CR;54.501,00;0,00
SCABIMITE 5% CR 30GR;89.466,00;1,00
ABBOTIC SYR 60ML;203.850,00;0,00
FG TROCHES LOZ@120;1.716,79;100,00
SYSTANE HYDRATION 5 ML;107.892,00;2,00
CELECOXIB 200MG @30;5.550,00;30,00
NARFOZ SYR 30 ML;69.375,00;2,00
BETAHISTINE MESILAT 6MG@100GDX;931,47;70,00
UROTRACTIN 400MG CAP@60;4.428,00;0,00
ORINOX 60 MG TAB @30;8.333,00;0,00
CAMASTIL 100 MG @4 TAB;77.700,00;0,00
XYZAL 5MG TAB@50;9.684,00;30,00
FLUIMUCIL 200MG CAP@60;5.144,85;160,00
MERISLON 12 MG TAB@100;7.904,91;0,00
CONCOR 2.5MG TAB@100;7.651,45;60,00
CEFSPAN 200MG CAP@10;54.306,00;0,00
NARFOZ 8MG TAB@12;29.137,50;18,00
PARIET 20MG TAB@14;23.283,00;0,00
ONDANSETRON 4 MG TAB @50 (OGB) NULAB;1.554,00;90,00
ZOTER CR 5GR;72.150,00;1,00
OXOFERIN SOL TOP 30ML;92.035,00;0,00
FORUMEN EAR DROP 10ML;33.688,50;2,00
ORASIC  50MG CAP@50;2.970,00;0,00
BIOPLACENTON GEL 15GR;33.300,00;1,00
ARCOXIA  90MG TAB@30;18.936,49;0,00
VITAQUIN 5% CR 15GR;75.813,00;6,00
DEXAMETHASONE 0.5MG@1000 GHS;39,00;0,00
DIPROGENTA CR 10GR;111.421,80;1,00
ERICFIL TAB 50 MG @4 STRIP;34.687,50;24,00
DIVASK 10MG TAB@30;15.169,99;0,00
SANKORBIN 200MG/5ML INJ AMP@5;38.900,00;0,00
VOSEDON 10MG TAB@100;2.915,00;0,00
BAQUINOR 500MG KPL@20;15.429,00;10,00
CAMASTIL 50 MG @4 TAB;55.500,00;0,00
CEPTIK SYR 30ML;130.980,00;0,00
MELOXICAM 15MG TAB@50 GDX;1.376,40;0,00
INPEPSA SUSP 100ML;88.800,00;0,00
PUMPITOR 20MG CAP@20;16.635,00;0,00
CIALIS 10MG TAB@4;182.402,14;0,00
ZEMYC 150MG CAP@3;66.311,00;2,00
DISP SYRINGE  1ML ONEMED;770,00;0,00
VIBRANAT CAPS;18.907,00;48,00
EPERISONE HCL TAB@100 GMDK;1.837,05;0,00
ESOMEPRAZOLE 40 MG LAPI @20;5.328,00;0,00
MEDI-KLIN TR GEL 15GR;53.058,00;0,00
SANOSKIN MELLADERM PLUS GEL 20;267.510,00;1,00
ZAROM 500MG @6;13.875,00;48,00
CLANEKSI SYR 60ML;66.940,00;0,00
ALDISA SR CAP@50;6.631,00;0,00
ARCOXIA 120MG TAB@5;20.783,45;0,00
CENDO XITROL EYE DROP 5ML;34.848,45;4,00
BAYCUTEN N CR 5GR;63.325,50;3,00
ELOCON CR 10GR;120.046,50;3,00
INERSON 0.25% OINT 15GR;112.665,00;4,00
ZITHROMAX POS 600 SYR;191.519,40;0,00
RAMIPRIL 5 MG TAB@100;640,77;100,00
KALTROFEN 100MG TAB@30;6.660,00;20,00
ESTESIA CR 30GR;283.050,00;4,00
MEFINAL 500MG KPL@100;1.657,00;0,00
BORRAGINOL N OINT 15GR;86.580,00;0,00
DOXICOR 100MG CAP@30;6.660,00;0,00
MELOXICAM 7.5MG TAB@50 GDX;799,20;40,00
ERLAMYCETINE TM 10 ML;13.986,00;0,00
URINTER 400MG CAP@100;7.536,90;50,00
ARDIUM 500MG TAB@60;9.063,00;0,00
INTERPRIL 10MG TAB@30;1.332,00;30,00
ONDANSETRON 4MG TAB@12 GNOV;1.554,00;0,00
SISTENOL KPL@60;2.775,00;0,00
REGROU RESTO SOL 30ML;79.365,00;1,00
CLANEKSI FORTE SYR 60ML;88.834,00;0,00
TORAS 8MG TAB@100;4.035,00;0,00
CEFABIOTIC 500MG CAP@100;8.880,00;120,00
ARCOXIA  60MG TAB@30;17.048,00;0,00
VOLTADEX 50MG TAB@100;523,00;0,00
BEPANTHEN 5% OINT 20GR;67.044,00;0,00
PANTOPRAZOLE SODIUM SESQ 40 MG @10;8.880,00;10,00
ELOCON CR  5GR;75.174,75;1,00
GITAS PLUS KPL@50;8.868,90;10,00
CEFIXIME 100MG CAP GDX ASKIN;1.110,00;0,00
NEUROBION 5000MG INJ@20;15.442,00;0,00
ANDALAN FE;18.363,84;29,00
VENTOLIN 2.5MG/2.5ML NEB@20;162.142,14;0,00
BORRAGINOL S OINT 15GR;116.550,00;2,00
TEQUINOL 500MG TAB@30;15.540,00;0,00
BETASON CR 5GR;9.089,00;4,00
VITAL EAR OIL 10ML;15.777,00;0,00
CRAVIT 0.5% EYE DROP 5ML;133.586,28;3,00
CIALIS 20MG TAB@2;221.934,51;0,00
AZITHROMYCIN 500MG @30;5.735,00;18,00
REGROU FORTE SOL 30ML;132.756,00;0,00
PREGABALIN 150 MG TAB @14;8.547,00;0,00
TORAS 4MG TAB@100;2.442,00;0,00
BORRAGINOL N SUPP@10;13.653,00;0,00
DIFLUCAN 150MG CAP@5;173.952,10;3,00
DEXTAMINE TAB@300;1.947,00;0,00
WEGOVY INJ 1 MG;2.581.416,00;1,00
INDEXON TAB@100;1.080,00;40,00
MYCORAL CR  5GR;19.980,00;0,00
VENTOLIN INHALER;162.142,14;4,00
SPORETIK 100MG CAP@30;24.295,00;0,00
MERTIGO 6MG TAB@100;3.996,00;0,00
PANTOZOL 20MG TAB@7;17.316,00;14,00
MEZATRIN 250MG CAP@30;36.013,00;0,00
BENOSON CR 15GR;37.740,00;1,00
DEFLAMAT CR  75MG CAP@20;8.174,00;0,00
KETANAEST INJ 100ML;183.150,00;0,00
POSTINOR-2 TAB@2;33.300,00;2,00
BINTAMOX 500MG KPL@100;857,00;0,00
PRORIS 200MG TAB@50;888,89;0,00
NEXIUM 40MG TAB@14;29.205,84;0,00
ELZSA PIL KB @21 TAB;109.083,00;0,00
VALACICLOVIR 500MG @30;9.250,00;0,00
RHINOS NEO DROP 10ML;63.270,00;0,00
ZENIFLOX 500MG TAB@30;13.338,00;0,00
ONDANSETRON 4MG TAB @30;1.600,00;0,00
PROBIOTIN 300MG CAP@50;10.861,00;0,00
SALBUVEN 4MG TAB@100;1.720,00;20,00
CEFAT FORTE SYR 60ML;91.292,00;0,00
CANDERIN 8 MG @30;8.250,00;0,00
LAMESON 4 MG SYR @30 ML;108.613,00;0,00
FARSIFEN 400MG TAB@100;632,70;180,00
ZIBRAMAX SYR @15ML;119.880,00;0,00
ATORVASTATIN 40 MG TAB @30;4.440,00;0,00
FLAGYSTATIN OVUL@10;23.715,37;0,00
SALTICIN CR 5GR;39.405,00;3,00
VAGISTIN OVUL@10;19.436,00;10,00
LIPITOR 40MG TAB@30;23.713,00;0,00
SUCRALFATE SUSP. 100 ML;22.000,00;0,00
ERICAF 100  TAB;6.259,55;100,00
BEPANTHEN 5% OINT10GR;41.847,00;0,00
DEXAMETHASONE 0.75MG@ 200 GHS;245,73;180,00
DARYANTULLE @10;24.054,00;0,00
SYMBICORT 160/4.5 TURBU 60 DOS;340.166,00;0,00
VITACID 0.025% GEL 20GR;28.942,00;0,00
ETHYL CHLORIDE SPRAY 100ML;295.000,26;2,00
RHINOS JUNIOR SYR 60ML;48.840,00;0,00
NARFOZ 8MG INJ@5;69.169,00;5,00
MOXIC 15MG TAB@20;12.210,00;0,00
OPISTAN 500MG KPL@100;608,00;390,00
SUSTANON 250MG INJ;215.316,69;20,00
ZEPHANAL CAP@30;4.717,50;430,00
PREDNOX  8MG KPL@100;7.070,70;110,00
SICLIDON 100MG CAP@20;6.826,50;0,00
BUFAMOXY 500MG CAP@100;3.201,00;10,00
ONDANSETRON 8MG TAB@30;1.110,00;0,00
RADOL 50MG CAP@50;4.839,60;290,00
CLINDAMYCIN 150MG CAP@50 GNOV;827,00;0,00
TELFAST PLUS FC TAB@100;6.870,00;0,00
VOSEDON SUSP 60ML;36.699,00;1,00
SODIUM CHLORIDE 0.9% 500ML OTSU;8.134,08;16,00
SUVESCO 10 MG;6.937,00;0,00
LEVOCIN 500MG TAB@18;43.216,00;0,00
CEFAT SYR 60ML;52.877,00;0,00
CANDERIN 16 MG @30;11.072,00;0,00
FAXIDEN 20MG KPL@100;216,00;0,00
MUCERA FORTE SYR 60ML;38.850,00;0,00
FG TROCHES LOZ@300;1.683,00;0,00
BURNAZIN CR 35GR;78.144,00;1,00
BINTAMOX 125MG/5ML SYR 60ML;11.655,00;0,00
DERMOVATE CR 10GR;144.928,26;3,00
CLINOVIR 5% CR 5GR;38.850,00;6,00
FLAGYL FORTE 500MG TAB@100;10.844,80;70,00
DONEPEZIL 5 MG @30;6.660,00;0,00
CIPROFLOXACIN 500MG TAB@100GIF;777,00;0,00
ZITHROMAX 500MG TAB@3;97.525,33;18,00
LIPITOR 10MG TAB@30;21.112,00;0,00
ANALTRAM KAPL@30;10.822,00;0,00
DEXAMETHASONE 0.5MG@200 GHS;229,00;200,00
RANTIN 150MG TAB@100;6.882,00;0,00
VITACID 0.05% GEL20GR;65.490,00;2,00
MOXIC  7.5MG TAB@20;7.326,00;10,00
FLUCONAZOLE 150 @10;16.650,00;0,00
IMODIUM 2MG TAB@100;8.591,40;270,00
MICROGEST 200MG @15;24.420,00;0,00
VENTOLIN EXP SYR 100ML;81.125,00;0,00
FULADIC CR 5GR;64.380,00;0,00
ELOCON OINT 10GR;123.648,00;0,00
VOMETA SIRUP;66.311,00;0,00
SODIUM CHLORIDE 0.9% 100ML OTS;7.964,25;41,00
ZOTER 400MG TAB@12;14.855,50;0,00
ALKOHOL 95% 100ML ANMAK;8.898,87;2,00
ALKOHOL 95% 300ML ANMAK;19.797,96;2,00
MINYAK KUTUS KUTUS NEW 100 ML;87.550,00;5,00
