Nama_Obat;HPP;Stock
BATH SPONGE AKP;4.329,00;0,00
NUFACE LIQ BRIGHT SERUM 20ML;25.883,17;0,00
SENSODYNE MULTI ACTION TOOTHBRUSH SOFT;13.653,00;1,00
HERBORIST LLR MILK 100GR;18.649,11;2,00
BAYGON AE JAPANESE PEACH 200ML;18.337,00;2,00
ALTAMED NITRILE SIZE M (BLUE);88.800,00;1,00
IKAT RAMBUT ECER;400,00;46,00
LIFREE CELANA TIPIS M1;5.404,00;5,00
FIESTA INTIM NATURAL GEL 70ML;38.850,00;1,00
TKTX NUMBING CR 40% 10 G;42.715,00;6,00
IMBOOST KIDS SYR 45ML;24.531,00;0,00
FAMILY DR ELBOW BLACK M;112.000,11;1,00
SHICK EXATA 2 WOMEN;20.699,28;0,00
EMBALASE PRO;0,00;-124,00
MITU BABY FNC BLUE WIPES 45;12.299,91;0,00
HERBORIST GEL ORIGINAL ORANGE CARROT 80ML;14.649,78;2,00
CBD COLLAGEN REPAIR SERUM 100ML;66.150,45;2,00
PERAWATAN KUKU TELINGA ALIS 7 PCS;19.000,00;0,00
KABEL TYPE C ROBOT RGC100;21.250,00;10,00
BAYGON AE CITRUS FRESH 200ML;22.900,00;0,00
CUSSON BABY WIPES MILD & GENTLE @10 SHT;6.000,00;0,00
HUANGSE SALEP GATAL;20.000,00;0,00
ONEMED GLOVE NITRIL BLACK (M);54.999,95;0,00
MAKARIZO COND SHAMPOO ALOE & MELON BTL 170ML;20.900,19;1,00
FINASTERIDE COMBIPHAR TAB;2.220,00;0,00
GARNIER BRIGHT COMPLETE SUPER WHIP FOAM 50ML;25.419,00;0,00
TKTX NUMBING CR 55% 10 G;45.100,00;0,00
KABEL DATA SAMSUNG FAST CHARGING;8.100,00;2,00
HANSAPLAST PLASTER AQUA PROTECT KIDS @20 S;31.600,59;0,00
BALI DANCE AROMATHERPY LEMONGRASS 10 ML;44.799,60;2,00
INAFITO INAGINGKO @30;225.000,00;2,00
NYU HAIR COLOUR BLUE BLACK;14.300,00;0,00
ZENCET @30;4.255,00;0,00
